script,id,name,likelyGender,genderScale,score,probabilityCalibrated
LATIN,id-000001,acre,male,-0.28540562742223097,4.713575381490093,0.6427028137111155
LATIN,id-000002,th stone   mulamukk,female,0.18200099206774234,2.6778132014080693,0.5910004960338712
LATIN,id-000003,th stone   sneha,female,0.7177929972103625,8.890933955324817,0.8588964986051812
LATIN,id-000004,agra,male,-0.013238940503864205,0.3069192468414746,0.5066194702519321
LATIN,id-000005,akg centre kunnukuzhi,male,-0.6961584927853428,8.552085295512507,0.8480792463926714
LATIN,id-000006,akg   ave,male,-0.4042488924841279,6.176966560382167,0.7021244462420639
LATIN,id-000007,akg   ave,male,-0.4042488924841279,6.176966560382167,0.7021244462420639
LATIN,id-000008,akg,male,-0.4219079748472878,6.724823781256733,0.7109539874236439
LATIN,id-000009,akm school,male,-0.6562477725809461,8.126628677942895,0.8281238862904731
LATIN,id-000010,akm school,male,-0.6562477725809461,8.126628677942895,0.8281238862904731
LATIN,id-000011,alinmoodu ela,female,0.06120463047234104,1.5196392032676456,0.5306023152361705
LATIN,id-000012,altharamukk kottarakkavu,female,0.09523666486223026,1.858975740008064,0.5476183324311151
LATIN,id-000013,ambazhamkuzhi kalluvazhakkonam,female,0.05168902263801001,1.3735603464901025,0.525844511319005
LATIN,id-000014,anganavadi kasthoorba ela,female,0.09517674224677508,1.85846018958227,0.5475883711233875
LATIN,id-000015,anganvadi kasthoorba ela,female,0.09517674224677508,1.85846018958227,0.5475883711233875
LATIN,id-000016,anoor bhoodhathan,male,-0.31363233550957736,5.021290194519252,0.6568161677547887
LATIN,id-000017,anoor kannamath lakshamveedu,male,-0.28019905231896836,4.507988652020039,0.6400995261594842
LATIN,id-000018,anoor kannamath leksham veedu,male,-0.6503167532659597,8.07640839106032,0.8251583766329799
LATIN,id-000019,anoor kokkottkonam,male,-0.21818903055477223,3.1585501377356855,0.6090945152773861
LATIN,id-000020,ayilakkadavu   to thottavaaram,male,-0.24582531602753233,3.698820824094375,0.6229126580137662
LATIN,id-000021,ayilakkadavu to vallakadablvu,male,-0.269093052292662,4.172286965677462,0.634546526146331
LATIN,id-000022,ayyappanmukku to mottamoola,male,-0.017998847788640582,0.6275918406480588,0.5089994238943203
LATIN,id-000023,aakulam park,male,-0.3887630769853989,5.861784431126126,0.6943815384926995
LATIN,id-000024,aakulam,male,-0.38248711819027914,5.757711868141867,0.6912435590951396
LATIN,id-000025,aalayil asramam,male,-0.3860422531982599,5.815338213556964,0.69302112659913
LATIN,id-000026,aalaykyal,male,-0.2540104325338428,3.8420741871016593,0.6270052162669214
LATIN,id-000027,aaliyilthartta shortcut,female,0.9382611576460473,13.751087983031873,0.9691305788230237
LATIN,id-000028,aaraamam quarry,male,-0.38629905042978563,5.819631388868051,0.6931495252148928
